Date;Symbol;Indexvalue
27.09.2001;V2TX;45.1933
28.09.2001;V2TX;40.8917
01.10.2001;V2TX;43.2164
02.10.2001;V2TX;42.8308
03.10.2001;V2TX;41.6257
04.10.2001;V2TX;38.9137
05.10.2001;V2TX;41.4506
08.10.2001;V2TX;43.2581
09.10.2001;V2TX;42.1905
10.10.2001;V2TX;39.1768
11.10.2001;V2TX;38.5802
12.10.2001;V2TX;38.3114
15.10.2001;V2TX;43.8745
16.10.2001;V2TX;42.316
17.10.2001;V2TX;40.9872
18.10.2001;V2TX;44.656
19.10.2001;V2TX;46.3948
22.10.2001;V2TX;42.6101
23.10.2001;V2TX;39.3756
24.10.2001;V2TX;39.2538
25.10.2001;V2TX;40.7277
26.10.2001;V2TX;38.0684
29.10.2001;V2TX;39.5995
30.10.2001;V2TX;42.7632
31.10.2001;V2TX;40.7531
01.11.2001;V2TX;39.7658
02.11.2001;V2TX;38.4478
05.11.2001;V2TX;37.1834
06.11.2001;V2TX;37.6643
07.11.2001;V2TX;36.8891
08.11.2001;V2TX;34.336
09.11.2001;V2TX;33.6126
12.11.2001;V2TX;39.4467
13.11.2001;V2TX;34.4215
14.11.2001;V2TX;35.2279
15.11.2001;V2TX;36.8758
16.11.2001;V2TX;33.0893
19.11.2001;V2TX;31.8439
20.11.2001;V2TX;31.8177
21.11.2001;V2TX;30.7298
22.11.2001;V2TX;28.142
23.11.2001;V2TX;27.5501
26.11.2001;V2TX;27.6972
27.11.2001;V2TX;29.1762
28.11.2001;V2TX;30.0866
29.11.2001;V2TX;30.1699
30.11.2001;V2TX;28.7656
03.12.2001;V2TX;30.1062
04.12.2001;V2TX;28.1684
05.12.2001;V2TX;26.8196
06.12.2001;V2TX;27.5957
07.12.2001;V2TX;27.5836
10.12.2001;V2TX;28.6401
11.12.2001;V2TX;28.5706
12.12.2001;V2TX;28.9269
13.12.2001;V2TX;29.7933
14.12.2001;V2TX;30.0327
17.12.2001;V2TX;27.7752
18.12.2001;V2TX;28.4894
19.12.2001;V2TX;28.3782
20.12.2001;V2TX;29.0028
21.12.2001;V2TX;28.5525
27.12.2001;V2TX;27.5493
28.12.2001;V2TX;26.7083
02.01.2002;V2TX;29.3238
03.01.2002;V2TX;27.3635
04.01.2002;V2TX;26.6082
07.01.2002;V2TX;27.4224
08.01.2002;V2TX;27.0382
09.01.2002;V2TX;27.0229
10.01.2002;V2TX;28.28
11.01.2002;V2TX;27.1757
14.01.2002;V2TX;29.0314
15.01.2002;V2TX;28.3889
16.01.2002;V2TX;29.2481
17.01.2002;V2TX;28.6457
18.01.2002;V2TX;28.0762
21.01.2002;V2TX;29.104
22.01.2002;V2TX;27.6213
23.01.2002;V2TX;26.7301
24.01.2002;V2TX;24.7429
25.01.2002;V2TX;24.0681
28.01.2002;V2TX;24.4068
29.01.2002;V2TX;25.0702
30.01.2002;V2TX;26.5591
31.01.2002;V2TX;25.3756
01.02.2002;V2TX;24.6969
04.02.2002;V2TX;25.5263
05.02.2002;V2TX;28.3647
06.02.2002;V2TX;29.8644
07.02.2002;V2TX;28.9744
08.02.2002;V2TX;27.6714
11.02.2002;V2TX;27.4985
12.02.2002;V2TX;27.2485
13.02.2002;V2TX;27.1248
14.02.2002;V2TX;25.7776
15.02.2002;V2TX;26.2003
18.02.2002;V2TX;26.1842
19.02.2002;V2TX;28.1101
20.02.2002;V2TX;28.9274
21.02.2002;V2TX;27.5996
22.02.2002;V2TX;28.8222
25.02.2002;V2TX;27.3855
26.02.2002;V2TX;26.7555
27.02.2002;V2TX;26.1042
28.02.2002;V2TX;25.2315
01.03.2002;V2TX;24.6614
04.03.2002;V2TX;24.9372
05.03.2002;V2TX;24.9983
06.03.2002;V2TX;24.467
07.03.2002;V2TX;25.0547
08.03.2002;V2TX;24.2426
11.03.2002;V2TX;24.7397
12.03.2002;V2TX;24.9463
13.03.2002;V2TX;25.2417
14.03.2002;V2TX;23.9739
15.03.2002;V2TX;22.1027
18.03.2002;V2TX;22.0479
19.03.2002;V2TX;21.4943
20.03.2002;V2TX;21.9692
21.03.2002;V2TX;21.5006
22.03.2002;V2TX;20.2874
25.03.2002;V2TX;20.5261
26.03.2002;V2TX;20.124
